config,delay_ps,estimator,N,count,mean,std,min,max,median,rmse,mae,p90_ae,p99_ae
multihit_15_cal_nominal,20,conv_mean,1,1000,-2978.736,2.1925125110500816,-3048.0,-2978.6666666666665,-2978.6666666666665,2978.73680609751,2978.736,2978.6666666666665,2978.6666666666665
multihit_15_cal_nominal,20,conv_mean,2,1000,-2978.6666666666665,0.0,-2978.6666666666665,-2978.6666666666665,-2978.6666666666665,2978.666666666666,2978.6666666666665,2978.6666666666665,2978.6666666666665
multihit_15_cal_nominal,20,conv_mean,3,1000,-2978.6897777777776,0.7308375036833507,-3001.7777777777774,-2978.6666666666665,-2978.6666666666665,2978.6898673455676,2978.6897777777776,2978.6666666666665,2978.6666666666665
multihit_15_cal_nominal,20,conv_mean,4,1000,-2978.684,0.5481281277625095,-2995.9999999999995,-2978.6666666666665,-2978.6666666666665,2978.68405038198,2978.684,2978.6666666666665,2978.6666666666665
multihit_15_cal_nominal,20,conv_mean,5,1000,-2978.680533333333,0.438502502210019,-2992.5333333333333,-2978.6666666666665,-2978.6666666666665,2978.680565577838,2978.680533333333,2978.6666666666665,2978.6666666666665
multihit_15_cal_nominal,20,conv_mean,6,1000,-2978.6666666666665,0.0,-2978.6666666666665,-2978.6666666666665,-2978.6666666666665,2978.666666666666,2978.6666666666665,2978.6666666666665,2978.6666666666665
multihit_15_cal_nominal,20,conv_mean,7,1000,-2978.7062857142855,0.6254908499964211,-2988.5714285714284,-2978.666666666667,-2978.666666666667,2978.706351321218,2978.7062857142855,2978.666666666667,2978.666666666667
multihit_15_cal_nominal,20,conv_mean,8,1000,-2978.701333333333,0.547304493746883,-2987.333333333333,-2978.6666666666665,-2978.6666666666665,2978.7013835637235,2978.701333333333,2978.6666666666665,2978.6666666666665
multihit_15_cal_nominal,20,conv_mean,9,1000,-2978.6743703703705,0.24361250122779313,-2986.3703703703704,-2978.6666666666665,-2978.6666666666665,2978.674380322398,2978.6743703703705,2978.6666666666665,2978.6666666666665
multihit_15_cal_nominal,20,conv_mean,10,1000,-2978.7082666666665,0.535708026593209,-2985.6,-2978.666666666667,-2978.666666666667,2978.7083147909007,2978.7082666666665,2978.666666666667,2978.666666666667
multihit_15_cal_nominal,20,conv_mean,11,1000,-2978.6792727272723,0.28173896798969505,-2984.9696969696965,-2978.666666666667,-2978.666666666667,2978.679286038117,2978.6792727272723,2978.666666666667,2978.666666666667
multihit_15_cal_nominal,20,conv_mean,12,1000,-2978.684,0.31614498470648833,-2984.444444444445,-2978.6666666666665,-2978.6666666666665,2978.6840167603714,2978.684,2978.6666666666665,2978.6666666666665
multihit_15_cal_nominal,20,conv_mean,13,1000,-2978.6773333333335,0.23839451137592002,-2984.0,-2978.6666666666665,-2978.6666666666665,2978.677342863588,2978.6773333333335,2978.6666666666665,2978.6666666666665
multihit_15_cal_nominal,20,conv_mean,14,1000,-2978.6864761904762,0.3127454249981889,-2983.6190476190473,-2978.6666666666665,-2978.6666666666665,2978.686492592318,2978.6864761904762,2978.6666666666665,2978.6666666666665
multihit_15_cal_nominal,20,conv_mean,15,1000,-2978.6805333333323,0.25291598776517565,-2983.288888888889,-2978.666666666666,-2978.666666666666,2978.6805440599833,2978.6805333333323,2978.666666666666,2978.666666666666
multihit_15_cal_nominal,50,conv_mean,1,1000,-3039.333333333334,4.549748952343969e-13,-3039.3333333333335,-3039.3333333333335,-3039.3333333333335,3039.3333333333326,3039.333333333334,3039.3333333333335,3039.3333333333335
multihit_15_cal_nominal,50,conv_mean,2,1000,-3039.333333333334,4.549748952343969e-13,-3039.3333333333335,-3039.3333333333335,-3039.3333333333335,3039.3333333333326,3039.333333333334,3039.3333333333335,3039.3333333333335
multihit_15_cal_nominal,50,conv_mean,3,1000,-3039.333333333334,4.549748952343969e-13,-3039.3333333333335,-3039.3333333333335,-3039.3333333333335,3039.3333333333326,3039.333333333334,3039.3333333333335,3039.3333333333335
