family,tap,raw_ro_pin,raw_net,isolation_instance,isolation_cell_type,isolation_input_pin,isolation_output_pin,isolation_net,driver_instance,driver_cell_type,driver_input_pin,driver_output_pin,buffered_phase_net,buffer_output_fanout,total_cap_pf,total_cap_ff,wire_cap_pf,wire_cap_ff,pin_cap_pf,pin_cap_ff,res_ohm,transition_ps,route_length_um,status,sink_count,pd_load_count,fast_tag_load_count,slow_epoch_load_count,metadata_load_count,other_load_count,isolation_input_cap_pf,isolation_input_cap_ff,driver_input_cap_pf,driver_input_cap_ff,raw_net_cap_pf,raw_net_cap_ff,budget_label,strict_ratio,cn_ratio,notes
slow,0,u_core_u_osc_slow_u_ro_tune4/S[0],u_core_slow_phase_raw[0],u_core_u_phase_buf_slow/gen_phase_buf[0].u_iso,BUJIHDX4,u_core_u_phase_buf_slow/gen_phase_buf[0].u_iso/A,u_core_u_phase_buf_slow/gen_phase_buf[0].u_iso/Q,u_core_u_phase_buf_slow/gen_phase_buf[0].iso_tap,u_core_u_phase_buf_slow/gen_phase_buf[0].u_drv,BUJIHDX12,u_core_u_phase_buf_slow/gen_phase_buf[0].u_drv/A,u_core_u_phase_buf_slow/gen_phase_buf[0].u_drv/Q,ro_slow_tap0_o,74,0.623,623.00,0.264,264.00,0.358,358.00,889.483,,1512.300000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.024,24.00,CRITICAL,10.61,8.24,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,1,u_core_u_osc_slow_u_ro_tune4/S[1],u_core_slow_phase_raw[1],u_core_u_phase_buf_slow/gen_phase_buf[1].u_iso,BUJIHDX4,u_core_u_phase_buf_slow/gen_phase_buf[1].u_iso/A,u_core_u_phase_buf_slow/gen_phase_buf[1].u_iso/Q,u_core_u_phase_buf_slow/gen_phase_buf[1].iso_tap,u_core_u_phase_buf_slow/gen_phase_buf[1].u_drv,BUJIHDX12,u_core_u_phase_buf_slow/gen_phase_buf[1].u_drv/A,u_core_u_phase_buf_slow/gen_phase_buf[1].u_drv/Q,u_core_slow_phase[1],8,0.169,169.00,0.118,118.00,0.051,51.00,301.612,,663.080000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.022,22.00,FAIL_HIGH_LOAD,2.88,2.24,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,2,u_core_u_osc_slow_u_ro_tune4/S[2],u_core_slow_phase_raw[2],u_core_u_phase_buf_slow/gen_phase_buf[2].u_iso,BUJIHDX4,u_core_u_phase_buf_slow/gen_phase_buf[2].u_iso/A,u_core_u_phase_buf_slow/gen_phase_buf[2].u_iso/Q,u_core_u_phase_buf_slow/gen_phase_buf[2].iso_tap,u_core_u_phase_buf_slow/gen_phase_buf[2].u_drv,BUJIHDX12,u_core_u_phase_buf_slow/gen_phase_buf[2].u_drv/A,u_core_u_phase_buf_slow/gen_phase_buf[2].u_drv/Q,u_core_slow_phase[2],8,0.168,168.00,0.117,117.00,0.051,51.00,316.549,,703.560000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.024,24.00,FAIL_HIGH_LOAD,2.86,2.22,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,3,u_core_u_osc_slow_u_ro_tune4/S[3],u_core_slow_phase_raw[3],u_core_u_phase_buf_slow/gen_phase_buf[3].u_iso,BUJIHDX4,u_core_u_phase_buf_slow/gen_phase_buf[3].u_iso/A,u_core_u_phase_buf_slow/gen_phase_buf[3].u_iso/Q,u_core_u_phase_buf_slow/gen_phase_buf[3].iso_tap,u_core_u_phase_buf_slow/gen_phase_buf[3].u_drv,BUJIHDX12,u_core_u_phase_buf_slow/gen_phase_buf[3].u_drv/A,u_core_u_phase_buf_slow/gen_phase_buf[3].u_drv/Q,u_core_slow_phase[3],9,0.191,191.00,0.136,136.00,0.055,55.00,293.007,,830.875000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.018,18.00,FAIL_HIGH_LOAD,3.25,2.53,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,4,u_core_u_osc_slow_u_ro_tune4/S[4],u_core_slow_phase_raw[4],u_core_u_phase_buf_slow/gen_phase_buf[4].u_iso,BUJIHDX4,u_core_u_phase_buf_slow/gen_phase_buf[4].u_iso/A,u_core_u_phase_buf_slow/gen_phase_buf[4].u_iso/Q,u_core_u_phase_buf_slow/gen_phase_buf[4].iso_tap,u_core_u_phase_buf_slow/gen_phase_buf[4].u_drv,BUJIHDX12,u_core_u_phase_buf_slow/gen_phase_buf[4].u_drv/A,u_core_u_phase_buf_slow/gen_phase_buf[4].u_drv/Q,u_core_slow_phase[4],9,0.136,136.00,0.081,81.00,0.055,55.00,210.807,,551.130000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.025,25.00,WARN_OVER_CN,2.32,1.80,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,5,u_core_u_osc_slow_u_ro_tune4/S[5],u_core_slow_phase_raw[5],u_core_u_phase_buf_slow/gen_phase_buf[5].u_iso,BUJIHDX4,u_core_u_phase_buf_slow/gen_phase_buf[5].u_iso/A,u_core_u_phase_buf_slow/gen_phase_buf[5].u_iso/Q,u_core_u_phase_buf_slow/gen_phase_buf[5].iso_tap,u_core_u_phase_buf_slow/gen_phase_buf[5].u_drv,BUJIHDX12,u_core_u_phase_buf_slow/gen_phase_buf[5].u_drv/A,u_core_u_phase_buf_slow/gen_phase_buf[5].u_drv/Q,u_core_slow_phase[5],9,0.158,158.00,0.103,103.00,0.055,55.00,229.254,,617.850000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.025,25.00,FAIL_HIGH_LOAD,2.69,2.09,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,6,u_core_u_osc_slow_u_ro_tune4/S[6],u_core_slow_phase_raw[6],u_core_u_phase_buf_slow/gen_phase_buf[6].u_iso,BUJIHDX4,u_core_u_phase_buf_slow/gen_phase_buf[6].u_iso/A,u_core_u_phase_buf_slow/gen_phase_buf[6].u_iso/Q,u_core_u_phase_buf_slow/gen_phase_buf[6].iso_tap,u_core_u_phase_buf_slow/gen_phase_buf[6].u_drv,BUJIHDX12,u_core_u_phase_buf_slow/gen_phase_buf[6].u_drv/A,u_core_u_phase_buf_slow/gen_phase_buf[6].u_drv/Q,u_core_slow_phase[6],8,0.207,207.00,0.156,156.00,0.051,51.00,353.523,,870.485000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.023,23.00,FAIL_HIGH_LOAD,3.53,2.74,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
slow,7,u_core_u_osc_slow_u_ro_tune4/S[7],u_core_slow_phase_raw[7],u_core_u_phase_buf_slow/gen_phase_buf[7].u_iso,BUJIHDX4,u_core_u_phase_buf_slow/gen_phase_buf[7].u_iso/A,u_core_u_phase_buf_slow/gen_phase_buf[7].u_iso/Q,u_core_u_phase_buf_slow/gen_phase_buf[7].iso_tap,u_core_u_phase_buf_slow/gen_phase_buf[7].u_drv,BUJIHDX12,u_core_u_phase_buf_slow/gen_phase_buf[7].u_drv/A,u_core_u_phase_buf_slow/gen_phase_buf[7].u_drv/Q,u_core_slow_phase[7],8,0.209,209.00,0.158,158.00,0.051,51.00,319.496,,907.280000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.029,29.00,FAIL_HIGH_LOAD,3.56,2.76,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,0,u_core_u_osc_fast_u_ro_tune4/S[0],u_core_fast_phase_raw[0],u_core_u_phase_buf_fast/gen_phase_buf[0].u_iso,BUJIHDX4,u_core_u_phase_buf_fast/gen_phase_buf[0].u_iso/A,u_core_u_phase_buf_fast/gen_phase_buf[0].u_iso/Q,u_core_u_phase_buf_fast/gen_phase_buf[0].iso_tap,u_core_u_phase_buf_fast/gen_phase_buf[0].u_drv,BUJIHDX12,u_core_u_phase_buf_fast/gen_phase_buf[0].u_drv/A,u_core_u_phase_buf_fast/gen_phase_buf[0].u_drv/Q,ro_fast_tap0_o,90,0.779,779.00,0.359,359.00,0.420,420.00,1306.931,,1657.195000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.023,23.00,CRITICAL,13.27,10.31,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,1,u_core_u_osc_fast_u_ro_tune4/S[1],u_core_fast_phase_raw[1],u_core_u_phase_buf_fast/gen_phase_buf[1].u_iso,BUJIHDX4,u_core_u_phase_buf_fast/gen_phase_buf[1].u_iso/A,u_core_u_phase_buf_fast/gen_phase_buf[1].u_iso/Q,u_core_u_phase_buf_fast/gen_phase_buf[1].iso_tap,u_core_u_phase_buf_fast/gen_phase_buf[1].u_drv,BUJIHDX12,u_core_u_phase_buf_fast/gen_phase_buf[1].u_drv/A,u_core_u_phase_buf_fast/gen_phase_buf[1].u_drv/Q,u_core_fast_phase[1],89,0.589,589.00,0.178,178.00,0.410,410.00,816.138,,517.550000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.021,21.00,CRITICAL,10.03,7.79,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,2,u_core_u_osc_fast_u_ro_tune4/S[2],u_core_fast_phase_raw[2],u_core_u_phase_buf_fast/gen_phase_buf[2].u_iso,BUJIHDX4,u_core_u_phase_buf_fast/gen_phase_buf[2].u_iso/A,u_core_u_phase_buf_fast/gen_phase_buf[2].u_iso/Q,u_core_u_phase_buf_fast/gen_phase_buf[2].iso_tap,u_core_u_phase_buf_fast/gen_phase_buf[2].u_drv,BUJIHDX12,u_core_u_phase_buf_fast/gen_phase_buf[2].u_drv/A,u_core_u_phase_buf_fast/gen_phase_buf[2].u_drv/Q,u_core_fast_phase[2],89,0.659,659.00,0.247,247.00,0.412,412.00,1055.598,,1006.350000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.023,23.00,CRITICAL,11.22,8.72,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,3,u_core_u_osc_fast_u_ro_tune4/S[3],u_core_fast_phase_raw[3],u_core_u_phase_buf_fast/gen_phase_buf[3].u_iso,BUJIHDX4,u_core_u_phase_buf_fast/gen_phase_buf[3].u_iso/A,u_core_u_phase_buf_fast/gen_phase_buf[3].u_iso/Q,u_core_u_phase_buf_fast/gen_phase_buf[3].iso_tap,u_core_u_phase_buf_fast/gen_phase_buf[3].u_drv,BUJIHDX12,u_core_u_phase_buf_fast/gen_phase_buf[3].u_drv/A,u_core_u_phase_buf_fast/gen_phase_buf[3].u_drv/Q,u_core_fast_phase[3],89,0.659,659.00,0.247,247.00,0.412,412.00,1075.319,,866.990000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.017,17.00,CRITICAL,11.22,8.72,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,4,u_core_u_osc_fast_u_ro_tune4/S[4],u_core_fast_phase_raw[4],u_core_u_phase_buf_fast/gen_phase_buf[4].u_iso,BUJIHDX4,u_core_u_phase_buf_fast/gen_phase_buf[4].u_iso/A,u_core_u_phase_buf_fast/gen_phase_buf[4].u_iso/Q,u_core_u_phase_buf_fast/gen_phase_buf[4].iso_tap,u_core_u_phase_buf_fast/gen_phase_buf[4].u_drv,BUJIHDX12,u_core_u_phase_buf_fast/gen_phase_buf[4].u_drv/A,u_core_u_phase_buf_fast/gen_phase_buf[4].u_drv/Q,u_core_fast_phase[4],89,0.619,619.00,0.210,210.00,0.409,409.00,805.640,,734.950000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.025,25.00,CRITICAL,10.54,8.19,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
fast,5,u_core_u_osc_fast_u_ro_tune4/S[5],u_core_fast_phase_raw[5],u_core_u_phase_buf_fast/gen_phase_buf[5].u_iso,BUJIHDX4,u_core_u_phase_buf_fast/gen_phase_buf[5].u_iso/A,u_core_u_phase_buf_fast/gen_phase_buf[5].u_iso/Q,u_core_u_phase_buf_fast/gen_phase_buf[5].iso_tap,u_core_u_phase_buf_fast/gen_phase_buf[5].u_drv,BUJIHDX12,u_core_u_phase_buf_fast/gen_phase_buf[5].u_drv/A,u_core_u_phase_buf_fast/gen_phase_buf[5].u_drv/Q,u_core_fast_phase[5],89,0.677,677.00,0.264,264.00,0.413,413.00,976.607,,963.440000,FINAL_DRIVER_OUTPUT_QUANTIFIED,0,0,0,0,0,0,,,,,0.024,24.00,CRITICAL,11.53,8.96,TOTAL_CAP_SOURCE=property_file:capacitance_max;WIRE_CAP_SOURCE=property_file:wire_capacitance_max;PIN_CAP_SOURCE=property_file:pin_capacitance_max;RESISTANCE_SOURCE=property_file:resistance_max;ROUTE_LENGTH_SOURCE=dbGet_net_bbox_manhattan_estimate
